distance,lat,status,lng,owner,type,address_type,manager,address_number,address_name,region/id,region/abbreviation,region/name,commune/id,commune/name,materials/0,materials/1,materials/2,materials/3,materials/4,materials/5
46.31478264895013,-41.90338310,open,-72.84584490,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,Sector Tentelhue,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
46.49521195314703,-41.11687000,open,-73.05014000,Municipalidad de Frutillar,pv,,Municipalidad de Frutillar,S/N,Alicia Martinez-Centro Comunitario,10,ll,Los Lagos,248,Frutillar,glass,plastic,metal,,,
48.383641564721025,-41.77411670,open,-73.23450930,Municipalidad de Calbuco,pv,,Municipalidad de Calbuco,,Playa Jardín San Antonio,10,ll,Los Lagos,245,Calbuco,glass,plastic,metal,,,
48.476875416295826,-41.92273810,open,-72.84834730,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,Sector Rolecha,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
48.930591693277165,-41.92759640,open,-72.83552580,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,Sector Rolecha,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
59.339385421597306,-41.96288640,open,-72.46751280,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,"Carretera Austral, Hornopiren",10,ll,Los Lagos,272,Hualaihué,plastic,,,,,
59.36483546876093,-41.96724470,open,-72.47839010,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,S/N,Rio Barcelo,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
59.43437501091827,-42.01070150,open,-72.64187610,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,Caleta el Manzano ,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
59.568526220131695,-41.96677290,open,-72.47163280,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,"Calle cordillera, Hornopiren",10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
59.97604088984152,-41.97086620,open,-72.47159870,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,S/N,Ingenieros Militares,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
60.34934360902332,-42.02537780,open,-72.68788140,Municipalidad de Hualaihue,pv,,Municipalidad de Hualaihue,,Sector Hualaihue Puerto,10,ll,Los Lagos,272,Hualaihué,glass,plastic,metal,,,
60.73732962016273,-41.52746480,open,-72.06766880,Municipalidad de Puerto Montt,pv,,Cosemar,,Calle Constantino Kochifas,10,ll,Los Lagos,244,Puerto Montt,plastic,,,,,
60.7611938015929,-41.52621990,open,-72.06727180,Municipalidad de Puerto Montt,pv,,Cosemar,,Calle Isla Calluhuapi,10,ll,Los Lagos,244,Puerto Montt,plastic,,,,,
63.808832052366874,-41.15705300,open,-73.41891500,Municipalidad de Fresia,pv,,Municipalidad de Fresia,,San Teodoro frente Multicancha Villas Unidas,10,ll,Los Lagos,247,Fresia,glass,paper,plastic,metal,,
64.29475898875386,-41.15356600,open,-73.42273900,Municipalidad de Fresia,pv,,Municipalidad de Fresia,,San Jose con Irarrazaval,10,ll,Los Lagos,247,Fresia,glass,paper,plastic,metal,,
65.26489400311239,-41.21939120,open,-73.49006200,Municipalidad de Fresia,pv,,Municipalidad de Fresia,,"Parga, calle san Sebastian",10,ll,Los Lagos,247,Fresia,glass,paper,plastic,metal,,
66.09473386813173,-41.47112350,open,-72.00216740,Municipalidad de Puerto Montt,pv,,Cosemar,,Archipielago Juan Fernandez con Capitan Avalos,10,ll,Los Lagos,244,Puerto Montt,plastic,,,,,
68.13966868644074,-41.61598180,open,-73.59619710,Ekuwun,pv,,Municipalidad de Maullín,,Esquina Gaspar del río con Almeida,10,ll,Los Lagos,251,Maullín,plastic,,,,,
68.19092880030298,-41.62306200,open,-73.59480290,Ekuwun,pv,,Municipalidad de Maullín,,Bernardo O'higgins N°641,10,ll,Los Lagos,251,Maullín,plastic,,,,,
68.67640384675568,-41.61783220,open,-73.60227660,Ekuwun,pv,,Municipalidad de Maullín,,"Población Miramar, calle los Cipreses",10,ll,Los Lagos,251,Maullín,plastic,,,,,
68.81296441313269,-41.62194660,open,-73.60278680,Ekuwun,pv,,Municipalidad de Maullín,,Población Entre Ríos,10,ll,Los Lagos,251,Maullín,plastic,,,,,
70.19652093312007,-41.83252800,open,-73.50380000,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Chacao viejo,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
71.52611903321099,-41.82979500,open,-73.52509900,Municipalidad de Ancud,pv,,Municipalidad de Ancud,225,Bellavista,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
71.65430650919403,-41.82919000,open,-73.52742000,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Cecosf Chacao,10,ll,Los Lagos,254,Ancud,glass,plastic,metal,,,
71.79900146671503,-41.03911030,open,-73.41195890,Municipalidad de Fresia,pv,,Municipalidad de Fresia,,"Tegualda, calle Las Americas ",10,ll,Los Lagos,247,Fresia,glass,paper,plastic,metal,,
72.62609012029114,-41.89634900,open,-73.47850400,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Sector punta Chilen,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
73.90564007662378,-41.56399150,open,-73.67729190,Ekuwun,pv,,Municipalidad de Maullín,,"Vicente Cárcamo con Blanco Encalada, Quenuir",10,ll,Los Lagos,251,Maullín,plastic,,,,,
74.37445804430922,-41.64150120,open,-73.66551560,Ekuwun,pv,,Municipalidad de Maullín,,"Plazoleta Amortajado, Amortajado",10,ll,Los Lagos,251,Maullín,plastic,,,,,
74.688953124623,-41.88311000,open,-73.52316000,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Wechulkan Manao,10,ll,Los Lagos,254,Ancud,glass,plastic,metal,,,
74.73401098615399,-41.88401000,open,-73.52296010,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Escuela Manao,10,ll,Los Lagos,254,Ancud,paper,plastic,,,,
74.7929049383795,-41.88410200,open,-73.52374800,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Camino costero Quemchi Km36,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
75.8658544528437,-41.90632000,open,-73.51770000,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Escuela Coñimó,10,ll,Los Lagos,254,Ancud,paper,plastic,,,,
75.88090196148886,-41.90632700,open,-73.51792200,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Sector Coñimo,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
78.62723322011014,-41.92491600,open,-73.54056600,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Sector huelden,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
78.62850961637876,-41.82646000,open,-73.62665000,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Caulin Bajo,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
78.68049989897966,-41.82638000,open,-73.62742000,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Posta de Caulin,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
80.82245294941077,-41.74437080,open,-73.70528120,Ekuwun,pv,,Municipalidad de Maullín,,"Serrano, plazoleta, Carelmapu",10,ll,Los Lagos,251,Maullín,plastic,,,,,
80.9652123450281,-41.74613590,open,-73.70623880,Ekuwun,pv,,Municipalidad de Maullín,,"Bernardo Ohiggins 996, Carelmapu",10,ll,Los Lagos,251,Maullín,plastic,,,,,
81.52312150237358,-41.96735600,open,-73.53921300,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Sector linao ,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
81.840667945465,-41.81937100,open,-73.67520200,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Sector Pugueñun,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
82.63680934709501,-42.06030000,open,-73.43190000,Municipalidad de Quemchi,pv,,Municipalidad de Quemchi,,Aucho Playa,10,ll,Los Lagos,261,Quemchi,glass,plastic,metal,,,
83.38388283608798,-41.94114600,open,-73.59625000,Municipalidad de Ancud,pv,,Municipalidad de Ancud,,Sector Lecam,10,ll,Los Lagos,254,Ancud,glass,paper,paperboard,plastic,metal,
